,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
28,"{'lon': -60.23, 'lat': -38.31}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 61.7, 'feels_like': 60.31, 'temp_min': 61.7, 'temp_max': 61.7, 'pressure': 1001, 'humidity': 89, 'sea_level': 1001, 'grnd_level': 992}",,"{'speed': 7.25, 'deg': 340}",{'all': 100},1578281931,"{'country': 'AR', 'sunrise': 1578300296, 'sunset': 1578353267}",-10800,3833859,Barrow,200,,
29,"{'lon': -109.91, 'lat': 22.89}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 65.53, 'feels_like': 63.59, 'temp_min': 61, 'temp_max': 70, 'pressure': 1020, 'humidity': 77}",19312.0,"{'speed': 8.05, 'deg': 280}",{'all': 40},1578281737,"{'type': 1, 'id': 7165, 'country': 'MX', 'sunrise': 1578232878, 'sunset': 1578271686}",-25200,3985710,Cabo San Lucas,200,,
30,"{'lon': -94.76, 'lat': 39.95}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 33.17, 'feels_like': 24.94, 'temp_min': 28, 'temp_max': 37.4, 'pressure': 1025, 'humidity': 69}",16093.0,"{'speed': 6.49, 'deg': 312}",{'all': 1},1578281931,"{'type': 1, 'id': 5924, 'country': 'US', 'sunrise': 1578231653, 'sunset': 1578265636}",-21600,4407665,Kodiak,200,,
31,"{'lon': 158.67, 'lat': 57.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 7.47, 'feels_like': -0.24, 'temp_min': 7.47, 'temp_max': 7.47, 'pressure': 1017, 'humidity': 73, 'sea_level': 1017, 'grnd_level': 1008}",,"{'speed': 2.55, 'deg': 69}",{'all': 0},1578281931,"{'country': 'RU', 'sunrise': 1578262034, 'sunset': 1578286425}",43200,2120612,Tigil,200,,
32,"{'lon': 115.35, 'lat': -33.64}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 87.58, 'feels_like': 76.32, 'temp_min': 84.99, 'temp_max': 91.99, 'pressure': 1005, 'humidity': 9}",,"{'speed': 11.43, 'deg': 259}",{'all': 23},1578281931,"{'type': 3, 'id': 2011706, 'country': 'AU', 'sunrise': 1578258901, 'sunset': 1578310358}",28800,2075265,Busselton,200,,
33,"{'lon': -123.11, 'lat': 45.52}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 42.6, 'feels_like': 35.33, 'temp_min': 37.99, 'temp_max': 45, 'pressure': 1031, 'humidity': 81}",16093.0,"{'speed': 8.05, 'deg': 190}",{'all': 90},1578281931,"{'type': 1, 'id': 4366, 'country': 'US', 'sunrise': 1578239542, 'sunset': 1578271360}",-28800,5727190,Forest Grove,200,{'1h': 0.25},
34,"{'lon': -37.64, 'lat': 65.61}","[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",model,"{'temp': 20.64, 'feels_like': -6.41, 'temp_min': 20.64, 'temp_max': 20.64, 'pressure': 972, 'humidity': 90, 'sea_level': 972, 'grnd_level': 969}",,"{'speed': 38.86, 'deg': 66}",{'all': 100},1578281932,"{'country': 'GL', 'sunrise': 1578314484, 'sunset': 1578328232}",-10800,3424607,Tasiilaq,200,,{'3h': 1.94}
35,"{'lon': -73.75, 'lat': 42.65}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 23.76, 'feels_like': 16.84, 'temp_min': 19.99, 'temp_max': 28, 'pressure': 1012, 'humidity': 85}",16093.0,"{'speed': 3.4, 'deg': 311}",{'all': 1},1578281880,"{'type': 1, 'id': 5137, 'country': 'US', 'sunrise': 1578227109, 'sunset': 1578260093}",-18000,5106834,Albany,200,,
36,"{'lon': 19.24, 'lat': -34.42}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 62.55, 'feels_like': 65.21, 'temp_min': 62.01, 'temp_max': 63, 'pressure': 1009, 'humidity': 91}",,"{'speed': 1.01, 'deg': 298, 'gust': 1.99}",{'all': 100},1578281932,"{'type': 3, 'id': 2006131, 'country': 'ZA', 'sunrise': 1578281859, 'sunset': 1578333547}",7200,3366880,Hermanus,200,,
37,"{'lon': -78.02, 'lat': 9.23}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 73.31, 'feels_like': 78.66, 'temp_min': 73.31, 'temp_max': 73.31, 'pressure': 1015, 'humidity': 96, 'sea_level': 1015, 'grnd_level': 990}",,"{'speed': 6.02, 'deg': 25}",{'all': 30},1578281932,"{'country': 'PA', 'sunrise': 1578223740, 'sunset': 1578265512}",-18000,3714956,Ailigandi,200,{'3h': 0.5},
